I,CO2EII,PUBLISHING,1,STATIONNAME,DUID,GENSETID,REGIONID,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
D,CO2EII,PUBLISHING,1,Oaky Creek Power Station,OAKYCREK,OAKYCREK,QLD1,0.68,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Rochedale Renewable Energy Facility,ROCHEDAL,ROCHEDAL,QLD1,0.68,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Roma Gas Turbine Station,ROMA_7,ROMA_7,QLD1,0.68,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Roma Gas Turbine Station,ROMA_8,ROMA_8,QLD1,0.68,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Laverton North Power Station,LAVNORTH,LAVNORTH,VIC1,0.676,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Laverton North Power Station,LAVNORTH,LNGS2,VIC1,0.676,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Mortlake Power Station,MORTLK11,MORTLK11,VIC1,0.642,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Mortlake Power Station,MORTLK12,MORTLK12,VIC1,0.642,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,OAKEY POWER STATION,OAKEY1,OAKEY1,QLD1,0.626,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,OAKEY POWER STATION,OAKEY2,OAKEY2,QLD1,0.626,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,NEWPORT POWER STATION,NPS,NPS,VIC1,0.617,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Bairnsdale Power Station,BDL01,BDL01,VIC1,0.605,Natural Gas (Pipeline),NTNDP
D,CO2EII,PUBLISHING,1,Bairnsdale Power Station,BDL02,BDL02,VIC1,0.605,Natural Gas (Pipeline),NTNDP
