plant_id,company_id,TYPE,CAPACITY,name,carbon_2000,carbon_2007,carbon_nextdecade,energy_2000,energy_2007,energy_nextdecade,intensity_2000,intensity_2007,intensity_nextdecade,perc_cap,country,iso3,state,city_name,latitude,longitude
41365,ERARING ENERGY,0,0,SHOALHAVEN BENDEELA,0,0,0,168390,155747,155747,0,0,0,Oceania,Australia,AUS,New South Wales,Nowra,-34.88334,150.6
3522,HYDRO TASMANIA,0,0,BASTYAN,0,0,0,168179,155552,155552,0,0,0,Oceania,Australia,AUS,Tasmania,Tullah,-41.73333,145.6
26450,HYDRO TASMANIA,0,0,MACKINTOSH,0,0,0,168179,155552,155552,0,0,0,Oceania,Australia,AUS,Tasmania,Tullah,-41.73333,145.6
46580,VISY INDUSTRIES HOLDINGS PTY,0,0,TUMUT MILL,0,12392,12681,0,149059,152866,0,166,166,Oceania,Australia,AUS,New South Wales,Tumut,-35.31,148.22
20995,SOUTHERN CROSS ENERGY,0,0,KAMBALDA MINE,84514,91599,94713,136344,148712,154174,1240,1232,1229,Oceania,Australia,AUS,Western Australia,Kambalda,-31.2,121.6667
20904,SOUTHERN CROSS ENERGY,0,0,KALGOORLIE SMELTER SCE,84514,91599,94713,136344,148712,154174,1240,1232,1229,Oceania,Australia,AUS,Western Australia,Kalgoorlie,-30.75,121.4667
23508,VERVE ENERGY,0,0,KWINANA TIWEST,83717,91058,94350,134957,147766,153536,1241,1232,1229,Oceania,Australia,AUS,Western Australia,Kwinana,-32.25,115.77
21294,STANWELL CORP LTD,0,0,KAREEYA (TULLY FALLS),0,0,0,158918,146986,146986,0,0,0,Oceania,Australia,AUS,Queensland,Tully,-17.93333,145.9333
49060,ANZ ENERGY INFRASTRUCT TRUST,0,0,WATTLE POINT,0,0,0,0,146194,146194,0,0,0,Oceania,Australia,AUS,South Australia,Wattle Point,0,0
977,BABCOCK & BROWN WIND PARTNERS,0,0,ALINTA (WALKAWAY),0,0,0,0,143536,143536,0,0,0,Oceania,Australia,AUS,Western Australia,Geraldton,-28.77,114.62
42312,ALINTA ENERGY,Gas Turbine,160,SOMERTON,0,87064,105020,0,140786,172347,0,1237,1219,Oceania,Australia,AUS,Victoria,Somerton,-37.65,144.9333
4947,SNOWY HYDRO LTD,0,0,BLOWERING,0,0,0,147341,136279,136279,0,0,0,Oceania,Australia,AUS,New South Wales,Blowering,-35.45,148.2667
6959,ENERGY DEVELOPMENTS LTD (EDL),0,0,CANNINGTON MINE,53836,82166,85805,83822,132262,138592,1285,1242,1238,Oceania,Australia,AUS,Queensland,McKinlay Shire,0,0
1832,ENERGY DEVELOPMENTS LTD (EDL),0,0,APPIN COLLIERY,42598,46933,49486,119626,131512,138501,712,714,715,Oceania,Australia,AUS,New South Wales,Appin,-34.2,150.7833
29857,VERVE ENERGY,0,0,MUNGARRA,73715,81106,87181,117649,130423,140990,1253,1244,1237,Oceania,Australia,AUS,Western Australia,Mungarra,0,0
24149,BABCOCK & BROWN WIND PARTNERS,0,0,LAKE BONNEY,0,0,0,0,129681,385822,0,0,0,Oceania,Australia,AUS,South Australia,Millicent,-37.6,140.35
15607,ALCAN GOVE PTY LTD,0,0,GOVE PENINSULA,60738,65704,68516,117987,128578,134608,1030,1022,1018,Oceania,Australia,AUS,Northern Territory,Nhulunbuy,-12.19,136.76
12443,STANWELL CORP LTD,0,0,EMU DOWNS,0,0,0,0,127587,127587,0,0,0,Oceania,Australia,AUS,Western Australia,Cervantes,-30.50056,115.0639
43479,ROARING 40S RENEWABLE ENERGY,0,0,STUDLAND BAY,0,0,0,0,120821,120821,0,0,0,Oceania,Australia,AUS,Tasmania,Studland Bay,0,0
49351,AGL HYDRO,0,0,WEST KIEWA,0,0,0,129660,119925,119925,0,0,0,Oceania,Australia,AUS,Victoria,Tawonga South,0,0
19487,CSR SUGAR,0,0,INVICTA SUGAR MILL,0,0,0,115520,117974,117974,0,0,0,Oceania,Australia,AUS,Queensland,Giru,-19.51667,147.1
16369,SNOWY HYDRO LTD,0,0,GUTHEGA,0,0,0,126292,116810,116810,0,0,0,Oceania,Australia,AUS,New South Wales,Guthega,0,0
3421,STANWELL CORP LTD,0,0,BARRON GORGE,0,0,0,126292,116810,116810,0,0,0,Oceania,Australia,AUS,Queensland,Redlynch,-16.88333,145.7
10669,HYDRO TASMANIA,0,0,DEVILS GATE,0,0,0,126292,116810,116810,0,0,0,Oceania,Australia,AUS,Tasmania,Sheffield,-41.38334,146.3333
31042,BLUESCOPE STEEL LTD,0,0,NEWCASTLE STEELWORKS,176787,189321,191861,105023,113193,114855,3367,3345,3341,Oceania,Australia,AUS,New South Wales,Port Waratah,0,0
29670,TARONG ENERGY CORP LTD,0,0,MT MILLAR,0,0,0,0,112766,112766,0,0,0,Oceania,Australia,AUS,South Australia,Cowell,-33.68333,136.9167
33728,NORMANDY MINING LTD,0,0,PARKESTON,62820,70540,78149,99006,112193,125301,1269,1257,1247,Oceania,Australia,AUS,Western Australia,Parkeston,0,0
28620,SYNERGEN POWER PTY LTD,0,0,MINTARO,62734,68414,72367,98860,108549,115330,1269,1261,1255,Oceania,Australia,AUS,South Australia,Mintaro,-33.91667,138.7167
